source_file,property_number,date,line_item,amount
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Manager Payroll (5000),4022.54
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Manager Payroll (5000),5271.23
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Manager Payroll (5000),4173.09
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Manager Payroll (5000),4462.02
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Manager Payroll (5000),4747.43
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Manager Payroll (5000),3603.05
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Overtime (5005),48.24
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Overtime (5005),34.65
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Overtime (5005),144.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Overtime (5005),78.67
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Overtime (5005),73.95
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Overtime (5005),65.48
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Overtime (5005),167.28
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Overtime (5005),344.29
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Overtime (5005),28.64
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Overtime (5005),80.99
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Overtime (5005),58.03
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Overtime (5005),44.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Overtime (5005),-8.85
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Vacation & Personal Leave (5010),241.21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Vacation & Personal Leave (5010),236.3
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Vacation & Personal Leave (5010),314.73
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Vacation & Personal Leave (5010),331.33
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Vacation & Personal Leave (5010),239.01
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Vacation & Personal Leave (5010),274.99
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Vacation & Personal Leave (5010),142.74
