run_id,property_name,property_number,managed_by,source_file,reporting_period,line_item,coa,coa2,account_type,coa_confidence,coa_match_method,coa_review_required,month,year,period_date,amount,extracted_at
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,2,2025,2025-02-01,1392,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,3,2025,2025-03-01,1044,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,4,2025,2025-04-01,667,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,5,2025,2025-05-01,928,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,6,2025,2025-06-01,841,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,7,2025,2025-07-01,1044,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,8,2025,2025-08-01,1102,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,9,2025,2025-09-01,725,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,10,2025,2025-10-01,1131,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,11,2025,2025-11-01,609,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,12,2025,2025-12-01,725,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,1,2026,2026-01-01,812,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Administrative Fees (4310),Admin Fee Income,Total Other Income,Income,1.0,exact_approved,0,2,2026,2026-02-01,783,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,2,2025,2025-02-01,1392,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,3,2025,2025-03-01,1044,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,4,2025,2025-04-01,667,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,5,2025,2025-05-01,928,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,6,2025,2025-06-01,841,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,7,2025,2025-07-01,1044,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,8,2025,2025-08-01,1102,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,9,2025,2025-09-01,725,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,10,2025,2025-10-01,1131,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,11,2025,2025-11-01,609,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,12,2025,2025-12-01,725,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,1,2026,2026-01-01,812,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Admin Fees,Admin Fee Income,Total Other Income,EXR_Rollup,1.0,exact_approved,1,2,2026,2026-02-01,783,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Late Fees (4300),Late Fee Income,Total Other Income,Income,1.0,exact_approved,0,2,2025,2025-02-01,947.2,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Late Fees (4300),Late Fee Income,Total Other Income,Income,1.0,exact_approved,0,3,2025,2025-03-01,1620.8,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Late Fees (4300),Late Fee Income,Total Other Income,Income,1.0,exact_approved,0,4,2025,2025-04-01,1079.4,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Late Fees (4300),Late Fee Income,Total Other Income,Income,1.0,exact_approved,0,5,2025,2025-05-01,1085.4,2026-03-27T10:12:30.781650
